CSV,ExpDay,Pi,dist_mean,dist_std,vel_mean,vel_std,velC_mean,velC_std,angMC_mean,angMC_std,polarity_mean,polarity_std,rotation_mean,rotation_std,pDist_mean,pDist_std,pDistC_mean,pDistC_std,NearN_mean,NearN_std,angleC_mean,angleC_std
./groupCSVs/groupedgecrop_pi13_group_full_180513.csv,54,pi13,196.34741656796618,85.41279028284002,24.3341053230448,18.967914261885543,0.042139991128996065,0.05454371185429989,0.03479871601627753,0.04499561304050792,0.6557003039257904,0.18006430143369734,0.9278839978132328,0.07391626893087966,252.29435551725902,91.08297728879718,0.20705268475697647,0.2673773899631748,117.35744171990316,103.49733930301556,0.021820339806734174,0.02826189859314121
./groupCSVs/groupedgecrop_pi13_group_full_180514.csv,55,pi13,129.81002970569867,55.82043256788728,23.146635246737954,16.84511643105295,0.051009784536198845,0.06592438355005713,0.04369930726326625,0.05656933854073131,0.6581132643926313,0.1781506078888357,0.9293950460263087,0.06820099919210548,242.66448259161922,86.05006722193144,0.21121617278067373,0.2728219397272417,77.33947413287915,52.18918641466566,0.02592750968330938,0.033577376701519224
./groupCSVs/groupedgecrop_pi13_group_full_180515.csv,56,pi13,172.67744604189286,76.0730640900605,22.996697804153612,18.259870341209222,0.048594710876983235,0.06285855277988622,0.036220061211853366,0.04682410672785657,0.6602392872390463,0.18248058587796168,0.9308644310266413,0.0750925754463502,242.99996884757263,88.86297592251017,0.21808381016523032,0.28191551270474524,102.63577219824172,90.98879460247446,0.026770715925880883,0.03478686410095323
./groupCSVs/groupedgecrop_pi13_group_full_180516.csv,57,pi13,176.88016053416882,76.22229524698922,28.45376768310561,20.096836990582908,0.04473985019253307,0.05790696061783637,0.043978989877581226,0.05683143324920058,0.6613951300781402,0.18248861404463043,0.9170685645248908,0.08062870245682799,247.35898634545393,85.76690971427197,0.18645677808203867,0.24105597116347122,106.22314423281158,90.80055711705141,0.028191451142090488,0.0364593718464267
./groupCSVs/groupedgecrop_pi13_group_full_180517.csv,58,pi13,140.1639542718431,60.687840487472705,25.892291761109163,18.791258775033835,0.05452744799414524,0.07054618597076005,0.05035404579950592,0.06534770386118127,0.6568895428936015,0.18156449659050589,0.9232893107575404,0.07496214338463704,245.09485218160683,84.76105829250928,0.21733781450912779,0.2806695347264675,84.25330248159563,67.5001006574796,0.02620200114741148,0.0339030172086609
./groupCSVs/groupedgecrop_pi13_group_full_180518.csv,59,pi13,157.52233763351958,73.70531257182114,28.61912830316239,20.653799706421076,0.07207476255543901,0.09311874368830408,0.055987261746235785,0.07245132127130445,0.6660132087709919,0.18571611816470857,0.9115532381800728,0.09449361208902722,253.90263273050178,84.15650484051767,0.22554065881564941,0.2913914167582739,90.6299994804308,84.99421161126081,0.032261560223662306,0.04190983609953321
./groupCSVs/groupedgecrop_pi14_group_full_180301.csv,0,pi14,304.36566337021264,152.3649534851496,60.15036177529893,18.413304877380877,0.006464947140190286,0.009989772818384314,0.02045280149814804,0.02657338221154219,0.6536719234748674,0.17127121923171335,0.8287417562845523,0.08969873854524306,302.9776708648109,60.4700124569601,0.06813913002207478,0.08952689232260008,162.92954085937873,148.69025447549933,0.024246375251676538,0.031547517312152724
./groupCSVs/groupedgecrop_pi14_group_full_180302.csv,1,pi14,281.952416086746,139.80139166916769,58.32163599803762,18.57543586965811,0.012311145982920834,0.016389181150814832,0.009194998770008168,0.012304122914277842,0.6547590334776336,0.1685212536101313,0.8214714084482092,0.09488980245052063,273.08654062253106,78.45734575777631,0.05929495849019237,0.07671774469729659,151.8899062843665,131.57894943775588,0.028982374145516753,0.037564986092498115
./groupCSVs/groupedgecrop_pi14_group_full_180303.csv,2,pi14,322.23316022156564,142.98433017904438,48.00551238131844,19.29138666611496,0.02843050914070596,0.03740128994076976,0.0027415757414584276,0.0060059618774342,0.6376305501128051,0.16486447568717608,0.8486602289061391,0.09421740845186803,264.94141253037833,92.75989496517998,0.03506511553333577,0.04646824454370715,187.45674457185257,129.05494050246006,0.009783172808744913,0.013602755762946644
./groupCSVs/groupedgecrop_pi14_group_full_180304.csv,3,pi14,353.62830276914235,149.22075132781785,43.50074616816125,19.114527544630402,0.031870129925557954,0.041393246755284316,0.026679475297973022,0.03456093530095128,0.6418141347407169,0.1655937256714255,0.8653475450849538,0.0902751643489244,280.55001820050126,88.49960441430925,-0.0028670713986526253,0.010598971613053622,210.02317462207301,131.89455682469986,0.009854402446639262,0.013307219584962301
./groupCSVs/groupedgecrop_pi14_group_full_180305.csv,4,pi14,347.94762276112175,148.2729268634696,50.078433567115795,22.330239177045705,0.032157101364310395,0.04234650208784834,0.024992269134875615,0.03290808118344275,0.6471776582429428,0.17321575924979232,0.8553556405721403,0.10716432387952454,277.36042388639595,86.95482364885575,0.0252545846929808,0.03633027375148064,206.593042617529,138.67609053268168,0.00937577344978149,0.012254679923603311
./groupCSVs/groupedgecrop_pi14_group_full_180306.csv,5,pi14,404.4975705906793,160.79691672187857,36.507688639917475,23.461890964979588,0.018679161279557432,0.025739553694411856,0.024643099702250586,0.03202887165619412,0.6446826115331871,0.1715084581151095,0.9019003838694126,0.09219496425770685,307.37149217250374,69.49974124887825,0.0035095825533616137,0.01587479269791579,247.45609252504443,147.583221906399,0.00446885305067867,0.0069628513004318165
./groupCSVs/groupedgecrop_pi14_group_full_180307.csv,6,pi14,384.17379734791257,147.75768111873708,36.19445970472832,19.49332119135048,-0.013975365117412682,0.019930810312112877,0.006322549253671746,0.00826213442059511,0.6418248792562247,0.16622954589765873,0.8955161050714168,0.07930492151450504,282.3480844827832,86.38513734477034,-0.004998035407126573,0.013482535296318402,238.46606364865013,128.76830867071763,0.0007064752618759623,0.004159560834982693
./groupCSVs/groupedgecrop_pi14_group_full_180308.csv,7,pi14,310.2105858642153,134.24303304186296,54.13981080394653,21.120041997431446,0.06675437466615167,0.08658691424849929,0.04302824190479151,0.05579318657555178,0.6530920197874551,0.17228462062003516,0.8334854705481554,0.11345237050980135,270.06457994341577,81.95646818436683,0.03163402017934375,0.04415538861302948,184.42839901898685,131.21447404829422,0.01131651431315227,0.014738852474817878
