CSV,ExpDay,Pi,dist_mean,dist_std,vel_mean,vel_std,velC_mean,velC_std,head_mean,head_std,pDist_mean,pDist_std,pDistC_mean,pDistC_std,NearN_mean,NearN_std,angleC_mean,angleC_std
./groupCSVs/groupedgecrop_pi41_group_full_180422.csv,1,pi41,156.4188746121727,64.02207832070775,9.240114245377915,11.100422686454316,0.02606185844283051,0.03392685203692516,0.004161523314739041,0.006187368200822394,123.11954962909307,46.235513243846434,-0.002427706803066027,0.02495786655083305,96.21576757025416,57.19610232090379,0.0015939304452137057,0.003316362592016904
./groupCSVs/groupedgecrop_pi41_group_full_180423.csv,2,pi41,142.32409597113778,58.730862397153125,8.386728328040437,10.944119428516899,0.019536199036312693,0.02547106350221396,0.004144473255183681,0.006392350506847448,120.52379949740167,48.182190591890965,0.027844091610559007,0.044721309257252255,86.24838050308617,53.382734502230456,0.0019661196327581247,0.003700811839551247
./groupCSVs/groupedgecrop_pi41_group_full_180424.csv,3,pi41,161.55507872576354,66.99084273254189,7.449941296988589,11.292242239222373,0.018440763388156527,0.02400798975164296,0.003449314670282773,0.006501241046509855,129.3520311016401,44.109201971674146,0.0035627635914482615,0.03341375843376752,95.94810020024705,59.23391826100728,0.0014699659055623982,0.00281207827999376
./groupCSVs/groupedgecrop_pi41_group_full_180425.csv,4,pi41,159.965927247876,67.04589030170418,6.798117977797766,12.92326345045797,0.04389863084125267,0.056759599990839404,0.006818708084042542,0.01113993988386182,132.5769295411527,43.81239804108066,0.03749095890128465,0.056443756318452123,95.37438051859824,63.60346978202603,0.004324276287940717,0.006554987994861314
./groupCSVs/groupedgecrop_pi41_group_full_180426.csv,5,pi41,146.10558586580626,61.58371353446022,6.589366644955274,13.1533329234035,0.0366999846783468,0.04768498544161902,0.005305085852187301,0.00879327755913535,128.48762098569003,41.36583407541457,0.08772563100370792,0.11577662410605087,85.84630493808729,58.62349669718487,0.002627588038133666,0.0048550558878851175
./groupCSVs/groupedgecrop_pi41_group_full_180427.csv,6,pi41,132.46280607815785,61.334356139820976,6.844646334210902,13.231692457599214,0.03564169192837627,0.04614021191388449,0.010121023168184055,0.014042685498606227,130.87452703495285,41.07830755369188,0.1091548412456236,0.14268249680587644,75.82819651906647,60.44908261752681,0.005149159526194844,0.006898325452902896
./groupCSVs/groupedgecrop_pi41_group_full_180428.csv,7,pi41,141.78683932987317,64.25276568926668,10.880582745446542,15.232015382566901,0.039431208910580696,0.05138071044327218,0.016452945601017607,0.021396168836643654,133.0257224926494,39.30847875906795,0.06569492156643085,0.08677405784908807,81.62601894654365,63.53189674555966,0.007118514101726283,0.009755659063427074
./groupCSVs/groupedgecrop_pi41_group_full_180429.csv,8,pi41,147.73560286932525,63.022190745406036,7.713169568465638,12.73233681440493,0.03160258933367606,0.040864127484170204,0.00868728397234432,0.011876428318762672,129.68249414147633,41.41958891339891,0.058268204578389195,0.07792110527852002,87.11648431360305,59.11460875569683,0.003543816557568412,0.005206131036862398
./groupCSVs/groupedgecrop_pi41_group_full_180430.csv,9,pi41,132.72683772352855,58.783880454376785,10.398420365953871,14.825446355666088,0.04914203778822738,0.06353207278195984,0.01635017705751681,0.021696254104126327,128.6348317393582,41.77945051770839,0.08430368488964662,0.11395917730913738,76.0575333462863,55.901592240973294,0.005658137781428525,0.0075590456643138725
./groupCSVs/groupedgecrop_pi41_group_full_180501.csv,10,pi41,171.95623824749407,68.74325896581217,8.790339204983875,15.962454131586247,0.03841752056803256,0.04971431032747642,0.007230198597727143,0.009941923038174432,135.33702315869402,38.25347599625908,0.034189041000637285,0.05512505796282155,103.80210160889698,62.308313064321766,0.001652987154079386,0.0029731643589352218
./groupCSVs/groupedgecrop_pi41_group_full_180502.csv,11,pi41,161.01723134310765,70.54246417615924,4.2198191842163215,11.830352778667514,0.015242713267259395,0.02028274286528349,0.0008609803388011099,0.0020570517318165677,142.25931825517603,34.66687364807473,0.04011767538896617,0.059962774858064186,91.22311437837868,65.58325870535273,0.0016068206757695368,0.0038122604329588797
./groupCSVs/groupedgecrop_pi42_group_full_180321.csv,0,pi42,298.75403325698346,152.16769225836686,27.74162806076777,23.122321178066905,0.033815136471293396,0.04368177524490988,0.03260817583178058,0.042258033896952346,293.85157117908625,68.96190766995024,0.06385849928849852,0.08669432334309535,163.3774522100355,154.45597529910418,0.01093559110914979,0.014287573334131196
./groupCSVs/groupedgecrop_pi42_group_full_180322.csv,1,pi42,321.25101216061347,156.9071892454832,24.07785055978094,23.361582429486933,0.035959134974572544,0.0468581678159309,0.028435608772163244,0.0368206634627133,292.53385226288185,81.57124873146853,0.11604028536429645,0.15011840171698976,180.99049078622838,158.38749624705085,0.01295443935068473,0.017157817129322323
./groupCSVs/groupedgecrop_pi42_group_full_180323.csv,2,pi42,372.24204539253196,159.13066007740625,15.225493724015205,23.12467471449092,0.024042809657309795,0.03126968904722391,0.01580511335970832,0.020581028363696442,294.69811620979976,85.96556056784398,0.07215299784527665,0.0944583958019667,220.16241662444426,152.7156087890592,0.005711989516819175,0.007863519284480069
./groupCSVs/groupedgecrop_pi42_group_full_180324.csv,3,pi42,355.48388709121855,151.31588424718313,18.425307342757968,23.79739761380718,0.03718430818740613,0.04844345042567573,0.016718535903240496,0.021791219652027367,288.6101990423856,95.28750336875655,0.04667225000848532,0.06171700898808283,210.94182848061385,147.8353070026407,0.004536251911061635,0.006225067771557025
./groupCSVs/groupedgecrop_pi42_group_full_180325.csv,4,pi42,360.04962914019757,153.13439640354326,19.060665624732035,23.701213057389687,0.03461801110282921,0.045149939463110675,0.010329099870091504,0.01380962142847313,301.14673673705784,123.25257234304402,0.16458503481848663,0.21260604850274137,209.33700867364342,140.93001523875967,0.00243207436460245,0.004052577693163501
./groupCSVs/groupedgecrop_pi42_group_full_180326.csv,5,pi42,338.59362397465446,136.9223697026057,16.38658368337559,23.16604974413132,0.019824922499833336,0.025767268487199513,0.007336056460542738,0.010414170952777739,247.79153741486567,110.10401274160697,0.07233331277462735,0.10178824511134293,205.4354546286561,131.7893397787087,0.002472825262555729,0.003780146157799937
